epoch: 0	train ppl: 500.4806936696935	val ppl: 266.07667539945055	best val: 266.07667539945055	time (s) spent in epoch: 45.1644082069397
epoch: 1	train ppl: 223.1885912524994	val ppl: 218.6563260985366	best val: 218.6563260985366	time (s) spent in epoch: 44.854780197143555
epoch: 2	train ppl: 179.42704731323934	val ppl: 207.31327371556205	best val: 207.31327371556205	time (s) spent in epoch: 44.903176069259644
epoch: 3	train ppl: 156.86901196183766	val ppl: 205.18642752411816	best val: 205.18642752411816	time (s) spent in epoch: 44.93995761871338
epoch: 4	train ppl: 142.23276287265617	val ppl: 204.96612343090726	best val: 204.96612343090726	time (s) spent in epoch: 44.84641098976135
epoch: 5	train ppl: 131.61173365416957	val ppl: 207.7801579291677	best val: 204.96612343090726	time (s) spent in epoch: 44.83610677719116
epoch: 6	train ppl: 123.49066311413783	val ppl: 210.89588021207425	best val: 204.96612343090726	time (s) spent in epoch: 44.763972759246826
epoch: 7	train ppl: 116.83903972132765	val ppl: 215.58892056056268	best val: 204.96612343090726	time (s) spent in epoch: 44.81930708885193
epoch: 8	train ppl: 111.24303687095097	val ppl: 220.62864476511425	best val: 204.96612343090726	time (s) spent in epoch: 44.733988523483276
epoch: 9	train ppl: 106.76880160019387	val ppl: 225.98698074486333	best val: 204.96612343090726	time (s) spent in epoch: 44.83609747886658
epoch: 10	train ppl: 102.9065766921943	val ppl: 231.26523364467047	best val: 204.96612343090726	time (s) spent in epoch: 44.75205731391907
epoch: 11	train ppl: 99.62110811491688	val ppl: 236.9651093508901	best val: 204.96612343090726	time (s) spent in epoch: 44.734962701797485
epoch: 12	train ppl: 96.82132651228726	val ppl: 242.86739474822065	best val: 204.96612343090726	time (s) spent in epoch: 44.71405839920044
epoch: 13	train ppl: 94.48495694566594	val ppl: 248.6557802547033	best val: 204.96612343090726	time (s) spent in epoch: 44.81266522407532
epoch: 14	train ppl: 92.59256039377686	val ppl: 253.85849855980254	best val: 204.96612343090726	time (s) spent in epoch: 44.70690393447876
epoch: 15	train ppl: 90.80834715330303	val ppl: 257.3751824410714	best val: 204.96612343090726	time (s) spent in epoch: 44.725316286087036
epoch: 16	train ppl: 89.09955257472993	val ppl: 260.8717996467933	best val: 204.96612343090726	time (s) spent in epoch: 44.743082761764526
epoch: 17	train ppl: 87.40176982707166	val ppl: 265.76356514272027	best val: 204.96612343090726	time (s) spent in epoch: 44.69961404800415
epoch: 18	train ppl: 85.92390964867282	val ppl: 270.3707054284217	best val: 204.96612343090726	time (s) spent in epoch: 44.753196001052856
epoch: 19	train ppl: 84.58256466233172	val ppl: 276.00400037805224	best val: 204.96612343090726	time (s) spent in epoch: 44.831932067871094
epoch: 20	train ppl: 83.35185475190387	val ppl: 280.98499887467926	best val: 204.96612343090726	time (s) spent in epoch: 44.74816703796387
epoch: 21	train ppl: 82.2922168509849	val ppl: 286.32192811081893	best val: 204.96612343090726	time (s) spent in epoch: 44.88589358329773
epoch: 22	train ppl: 81.2394544884156	val ppl: 290.162649906365	best val: 204.96612343090726	time (s) spent in epoch: 45.12891721725464
epoch: 23	train ppl: 80.15184399426508	val ppl: 295.2126342218725	best val: 204.96612343090726	time (s) spent in epoch: 45.440975189208984
epoch: 24	train ppl: 79.35249399469694	val ppl: 298.8258404999141	best val: 204.96612343090726	time (s) spent in epoch: 45.46804189682007
epoch: 25	train ppl: 78.49213964537253	val ppl: 302.20012456783746	best val: 204.96612343090726	time (s) spent in epoch: 45.495331048965454
epoch: 26	train ppl: 77.78980375294115	val ppl: 307.0166950153017	best val: 204.96612343090726	time (s) spent in epoch: 45.47960877418518
epoch: 27	train ppl: 76.98875667845807	val ppl: 310.5216679049995	best val: 204.96612343090726	time (s) spent in epoch: 45.46852374076843
epoch: 28	train ppl: 76.24898121800454	val ppl: 315.9010116547512	best val: 204.96612343090726	time (s) spent in epoch: 45.36981153488159
epoch: 29	train ppl: 75.53782764306227	val ppl: 319.86217027505404	best val: 204.96612343090726	time (s) spent in epoch: 45.459792375564575
epoch: 30	train ppl: 74.68074489512556	val ppl: 323.4217850210054	best val: 204.96612343090726	time (s) spent in epoch: 45.627981185913086
epoch: 31	train ppl: 74.11904481050074	val ppl: 327.4313035327462	best val: 204.96612343090726	time (s) spent in epoch: 45.24083757400513
epoch: 32	train ppl: 73.40375048993931	val ppl: 331.1651495772982	best val: 204.96612343090726	time (s) spent in epoch: 44.960554361343384
epoch: 33	train ppl: 72.83502556744278	val ppl: 333.9532565023266	best val: 204.96612343090726	time (s) spent in epoch: 44.56530213356018
epoch: 34	train ppl: 72.23266425358926	val ppl: 338.13814636832893	best val: 204.96612343090726	time (s) spent in epoch: 44.39299988746643
epoch: 35	train ppl: 71.6879725331071	val ppl: 342.0788869184553	best val: 204.96612343090726	time (s) spent in epoch: 44.878669023513794
epoch: 36	train ppl: 71.14589911088582	val ppl: 345.60320703750205	best val: 204.96612343090726	time (s) spent in epoch: 44.80560493469238
epoch: 37	train ppl: 70.64352816621869	val ppl: 348.30777553180496	best val: 204.96612343090726	time (s) spent in epoch: 44.777188301086426
epoch: 38	train ppl: 70.10229497241784	val ppl: 351.55633004549793	best val: 204.96612343090726	time (s) spent in epoch: 44.763912200927734
epoch: 39	train ppl: 69.63074709537847	val ppl: 355.040077971225	best val: 204.96612343090726	time (s) spent in epoch: 44.8119957447052
